name,url,is_official,status,generator,author
Borohrádek,mestoborohradek.cz,1,200,[],['Antee s.r.o.']
Broumov,broumov-mesto.cz,1,000,,
Hronov,mestohronov.cz,1,200,[],"['Direction.cz, 2007 - 2023']"
Jablonec nad Jizerou,jablonecnjiz.cz,0,,,
Lomnice nad Popelkou,mu-lomnice.cz,0,,,
Náchod,mestonachod.cz,1,200,[],[]
Pec pod Sněžkou,pecpodsnezkou.cz,1,200,[],['Design: Orso Design; Kód a programování: Texpro s.r.o.']
Solnice,solnice.cz,1,200,[],['Město Solnice']
Svoboda nad Úpou,musvoboda.cz,0,,,
Teplice nad Metují,teplicenadmetuji.cz,1,200,[],['Teplice nad Metují']
Trutnov,trutnov.cz,1,200,['Public4u'],"['as4u.cz, s.r.o.']"
Turnov,turnov.cz,1,200,['Public4u'],"['as4u.cz, s.r.o.']"
Úpice,,0,,,
Černošice,mestocernosice.cz,1,200,[],['Černošice']
Červený Kostelec,mestock.cz,0,,,
Česká Skalice,ceskaskalice.cz,1,000,,
Žandov,zandov.cz,1,200,[],[]
Mrákotín,,0,,,
Nezamyslice,,0,,,
Nový Hrádek,novy-hradek.cz,0,,,
Tištín,tistin.cz,1,000,,
Tištín,,0,,,
Škvorec,obecskvorec.cz,1,200,[],['Městys Škvorec']
Abertamy,,0,,,
Adamov,adamov.cz,1,200,[],['Město Adamov']
Andělská Hora,andelskahora.eu,1,000,,
Aš,muas.cz,1,000,,
Bakov nad Jizerou,bakovnj.cz,0,,,
Bavorov,,0,,,
Bavorov,bavorov.cz,1,000,,
Bechyně,mestobechyne.cz,1,200,['Public4u'],"['as4u.cz, s.r.o.']"
Benešov,benesov-city.cz,1,000,,
Benešov nad Ploučnicí,benesovnpl.cz,0,,,
Benátky nad Jizerou,benatky.cz,0,,,
Beroun,muberoun.cz,1,000,,
Bezdružice,bezdruzice.cz,1,200,[],['Bezdružice']
Bečov nad Teplou,becov.cz,0,,,
Blansko,blansko.cz,1,200,[],[]
Blatná,mesto-blatna.cz,1,000,,
Blovice,mublovice.cz,1,000,,
Blšany,,0,,,
Bochov,mesto-bochov.cz,1,200,[],['Město Bochov']
Bohumín,mubo.cz,0,,,
Bohušovice nad Ohří,bohusovice.cz,0,,,
Bojkovice,bojkovice.cz,1,200,[],[]
Bojkovice,ub.cz,0,,,
Bor,mubor.cz,1,200,[],['Bor']
Borovany,borovany-cb.cz,1,200,[],['Město Borovany']
Boskovice,boskovice.cz,1,200,[],[]
Boží Dar,bozidar.eu,1,000,,
Brandýs nad Labem – Stará Boleslav,brandysko.cz,0,,,
Brandýs nad Orlicí,mesto-brandys.cz,0,,,
Brtnice,brtnice.cz,1,200,[],[]
Brumov-Bylnice,brumov-bylnice.cz,1,000,,
Bruntál,mubruntal.cz,1,200,[],['mubruntal.cz']
Brušperk,brusperk-mesto.cz,1,200,[],['Město Brušperk']
Budišov nad Budišovkou,budisovnb.cz,0,,,
Bučovice,bucovice.cz,1,200,[],[]
Buštěhrad,mestobustehrad.cz,1,000,,
Bystré,bystre.cz,1,200,['MYOB'],[]
Bystřice,,0,,,
Bystřice,mestobystrice.cz,1,200,[],['Město Bystřice']
Bystřice nad Pernštejnem,bystricenp.cz,0,,,
Bystřice pod Hostýnem,mubph.cz,0,,,
Bzenec,bzenec.cz,1,200,"['WordPress 5.7.1', 'EventON 3.1.5']",['bystricky.cz']
Bílina,bilina.cz,1,000,,
Bílovec,bilovec.cz,1,200,[],[]
Bělá nad Radbuzou,belanr.cz,0,,,
Bělá pod Bezdězem,mubela.cz,0,,,
Bělčice,,0,,,
Břeclav,breclav.eu,1,200,[],['breclav.eu']
Březnice,breznice.cz,1,200,[],['Město Březnice']
Březová nad Svitavou,brezova.cz,0,,,
Břidličná,mu-bridlicna.cz,1,200,[],['František Marada']
Chabařovice,chabarovice.cz,1,000,,
Cheb,cheb.cz,1,200,[],[]
